.1022,.1022,.1402,.1445,.2299,.5233,.5389,.5589,.7290,.7258,1,.4108,.4028,.3101,.2798,.2309,.2309,.2325,.1246,.1246,.1241,.1211,.1314,.1314,.1323,.0744,.0292,.0285,.0243,.0243,.0240,.0239,.0192,.0192,.0191,.0184,.0184,.0184,.0182,.0182,.0182,.0168,.0157,.0157,.0156,.0135,.0159,.0156,.0168,.0168,.0168,.0200,.0104,.0103,.0103,.0059,.0059,.0059,.0059,.0059,.0187,.0182,.0182,.0182,.0211,.0111,.0110,.0110,.0110,.0061,.0061,.0061,.0061,.0061,.0054,.0054,.0054,.0031,.0031,.0028,.0028,.0013,.0013
.0663,.0663,.0520,.0551,.0636,.1835,.1954,.2032,.3116,.3193,.4108,1,.5428,.7498,.3920,.5393,.5393,.2982,.1903,.1903,.2131,.1613,.2465,.2465,.2469,.1371,.0579,.0545,.0465,.0465,.0459,.0456,.0392,.0392,.0385,.0383,.0382,.0382,.0352,.0352,.0353,.0342,.0286,.0279,.0277,.0238,.0282,.0275,.0270,.0270,.0270,.0406,.0120,.0120,.0120,.0059,.0059,.0059,.0059,.0059,.0305,.0297,.0297,.0297,.0437,.0134,.0134,.0134,.0134,.0060,.0060,.0060,.0060,.0061,.0052,.0052,.0047,.0042,.0042,.0037,.0037,.0013,.0013
.0659,.0659,.0518,.0549,.0635,.1829,.1949,.2026,.3096,.3171,.4028,.5428,1,.7807,.4298,.5606,.5606,.3223,.2018,.2018,.2244,.1725,.2591,.2591,.2594,.1464,.0599,.0562,.0483,.0483,.0475,.0471,.0407,.0407,.0400,.0398,.0397,.0397,.0367,.0367,.0368,.0357,.0307,.0295,.0293,.0255,.0302,.0294,.0290,.0289,.0290,.0434,.0126,.0126,.0126,.0062,.0062,.0062,.0062,.0062,.0326,.0318,.0318,.0318,.0467,.0140,.0141,.0140,.0140,.0064,.0064,.0064,.0064,.0064,.0055,.0055,.0050,.0044,.0044,.0037,.0037,.0013,.0013
.0317,.0317,.0280,.0283,.0335,.1119,.1278,.1353,.2227,.2271,.3101,.7498,.7807,1,.4752,.7622,.7622,.5764,.3979,.3979,.3905,.2989,.3597,.3597,.3655,.1999,.0772,.0734,.0640,.0640,.0609,.0605,.0530,.0530,.0521,.0525,.0523,.0523,.0481,.0481,.0477,.0455,.0401,.0393,.0390,.0334,.0393,.0384,.0378,.0378,.0378,.0564,.0161,.0160,.0160,.0088,.0088,.0088,.0088,.0088,.0426,.0418,.0418,.0418,.0602,.0170,.0171,.0171,.0171,.0088,.0087,.0087,.0087,.0088,.0074,.0074,.0069,.0064,.0064,.0059,.0059,.0019,.0019
.0229,.0229,.0215,.0217,.0270,.1002,.1164,.1251,.2128,.2157,.2798,.3920,.4298,.4752,1,.8383,.8383,.7949,.2637,.2637,.2613,.2469,.4734,.4734,.4770,.1750,.0455,.0452,.0486,.0486,.0467,.0464,.0410,.0410,.0408,.0406,.0405,.0404,.0365,.0365,.0366,.0451,.0394,.0387,.0384,.0334,.0397,.0389,.0387,.0387,.0387,.0543,.0113,.0113,.0113,.0080,.0080,.0080,.0080,.0080,.0427,.0418,.0418,.0418,.0575,.0122,.0122,.0122,.0122,.0082,.0082,.0082,.0082,.0082,.0064,.0064,.0059,.0059,.0059,.0054,.0054,.0018,.0018
.0274,.0274,.0242,.0245,.0290,.0859,.1007,.1069,.1705,.1753,.2309,.5393,.5606,.7622,.8383,1,.4051,.4830,.5457,.5457,.5373,.4743,.2733,.2733,.2778,.3205,.1185,.1129,.0995,.0995,.0964,.0953,.0712,.0712,.0703,.0698,.0686,.0686,.0617,.0617,.0613,.0585,.0556,.0548,.0548,.0465,.0586,.0572,.0569,.0569,.0570,.0863,.0209,.0209,.0209,.0114,.0114,.0114,.0114,.0114,.0632,.0628,.0622,.0622,.0918,.0208,.0208,.0208,.0208,.0109,.0109,.0109,.0109,.0110,.0088,.0088,.0083,.0067,.0067,.0060,.0060,.0014,.0014
.0274,.0274,.0242,.0245,.0290,.0859,.1007,.1069,.1705,.1753,.2309,.5393,.5606,.7622,.8383,.4051,1,.4830,.5457,.5457,.5373,.4743,.2733,.2733,.2778,.3205,.1185,.1129,.0995,.0995,.0964,.0953,.0712,.0712,.0703,.0698,.0686,.0686,.0617,.0617,.0613,.0585,.0556,.0548,.0548,.0465,.0586,.0572,.0569,.0569,.0570,.0863,.0209,.0209,.0209,.0114,.0114,.0114,.0114,.0114,.0632,.0628,.0622,.0622,.0918,.0208,.0208,.0208,.0208,.0109,.0109,.0109,.0109,.0110,.0088,.0088,.0083,.0067,.0067,.0060,.0060,.0014,.0014
.0248,.0248,.0231,.0233,.0271,.0818,.0966,.1052,.1745,.1772,.2325,.2982,.3223,.5764,.7949,.4830,.4830,1,.5342,.5342,.5209,.4900,.6148,.6148,.6173,.3192,.0897,.0859,.0762,.0762,.0732,.0728,.0690,.0690,.0675,.0680,.0678,.0677,.0613,.0613,.0599,.0628,.0556,.0555,.0551,.0471,.0569,.0557,.0554,.0554,.0554,.0781,.0176,.0176,.0176,.0115,.0115,.0115,.0115,.0115,.0595,.0591,.0591,.0592,.0822,.0185,.0186,.0186,.0186,.0115,.0115,.0115,.0115,.0115,.0093,.0093,.0089,.0082,.0082,.0073,.0073,.0019,.0019
.0159,.0159,.0145,.0146,.0182,.0383,.0475,.0518,.0785,.0805,.1246,.1903,.2018,.3979,.2637,.5457,.5457,.5342,1,.9245,.9345,.9181,.4812,.4812,.4752,.7359,.2075,.1994,.1944,.1944,.1874,.1854,.1752,.1752,.1732,.1765,.1758,.1757,.1612,.1612,.1607,.1667,.1419,.1412,.1395,.1198,.1394,.1366,.1356,.1355,.1356,.1964,.0194,.0193,.0193,.0151,.0151,.0151,.0151,.0151,.1452,.1444,.1444,.1445,.2068,.0203,.0204,.0204,.0203,.0142,.0142,.0142,.0142,.0143,.0113,.0113,.0108,.0100,.0100,.0091,.0091,.0031,.0031
.0159,.0159,.0145,.0146,.0182,.0383,.0475,.0518,.0785,.0805,.1246,.1903,.2018,.3979,.2637,.5457,.5457,.5342,.9245,1,.9345,.9181,.4812,.4812,.4752,.7359,.2075,.1994,.1944,.1944,.1874,.1854,.1752,.1752,.1732,.1765,.1758,.1757,.1612,.1612,.1607,.1667,.1419,.1412,.1395,.1198,.1394,.1366,.1356,.1355,.1356,.1964,.0194,.0193,.0193,.0151,.0151,.0151,.0151,.0151,.1452,.1444,.1444,.1445,.2068,.0203,.0204,.0204,.0203,.0142,.0142,.0142,.0142,.0143,.0113,.0113,.0108,.0100,.0100,.0091,.0091,.0031,.0031
